fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida;fecha_ingestion
2018-01-01T12:00:00.000-05:00;1.0;6.26718787;-75.59727222;Hombre;45;Soltero(a);Delincuencia;Sin dato;Sin dato;Independiente;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Ferrini;#1201;12;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-02T10:30:00.000-05:00;1.0;6.26458034;-75.59455246;Mujer;67;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Los Colores;#1114;11;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-02T20:30:00.000-05:00;1.0;6.28517388;-75.5740282;Hombre;59;Casado(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Microextorsión;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Francisco Antonio Zea;#0513;5;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-03T17:00:00.000-05:00;1.0;6.30664326;-75.5675346;Mujer;66;Casado(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Tejelo;#0504;5;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-04T16:00:00.000-05:00;1.0;6.21658668;-75.58188707;Mujer;28;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Campo Amor;#1507;15;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-04T20:00:00.000-05:00;1.0;6.27179859;-75.55326574;Hombre;43;Casado(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Campo Valdés No.2;#0303;3;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-04T19:54:00.000-05:00;1.0;6.21225241;-75.54920703;Mujer;58;Unión marital de hecho;Delincuencia;Sin dato;Sin dato;Profesional;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Altos del Poblado;#1408;14;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-04T12:00:00.000-05:00;1.0;6.21820331;-75.61423915;Hombre;39;Soltero(a);Delincuencia;Sin dato;Sin dato;Oficial construcción;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;La Esperanza A.V.;#7006;70;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-05T11:00:00.000-05:00;1.0;6.24707383;-75.55255443;Hombre;41;Casado(a);Delincuencia;Sin dato;Sin dato;Agente de tránsito;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sucre;#0809;8;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-05T17:00:00.000-05:00;1.0;6.27504771;-75.60492724;Mujer;56;Casado(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Blanquizal;#1302;13;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
